Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.180e-03,-0.69,-0.81
-1.178e-03,-0.73,-0.61
-1.176e-03,-0.69,-0.71
-1.174e-03,-0.61,-0.57
-1.172e-03,-0.71,-0.73
-1.170e-03,-0.63,-0.61
-1.168e-03,-0.69,-0.73
-1.167e-03,-0.63,-0.57
-1.165e-03,-0.65,-0.77
-1.163e-03,-0.67,-0.57
-1.161e-03,-0.73,-0.81
-1.159e-03,-0.73,-0.65
-1.157e-03,-0.75,-0.95
-1.155e-03,-0.81,-0.69
-1.153e-03,-0.87,-0.95
-1.151e-03,-0.85,-0.75
-1.149e-03,-0.79,-0.89
-1.147e-03,-0.81,-0.63
-1.145e-03,-0.61,-0.71
-1.144e-03,-0.65,-0.55
-1.142e-03,-0.57,-0.73
-1.140e-03,-0.67,-0.53
-1.138e-03,-0.67,-0.83
-1.136e-03,-0.75,-0.63
-1.134e-03,-0.79,-0.89
-1.132e-03,-0.83,-0.67
-1.130e-03,-0.73,-0.87
-1.128e-03,-0.71,-0.61
-1.126e-03,-0.81,-0.85
-1.124e-03,-0.67,-0.65
-1.122e-03,-0.75,-0.85
-1.120e-03,-0.77,-0.65
-1.119e-03,-0.79,-0.89
-1.117e-03,-0.75,-0.69
-1.115e-03,-0.85,-0.93
-1.113e-03,-0.85,-0.77
-1.111e-03,-0.85,-0.89
-1.109e-03,-0.81,-0.77
-1.107e-03,-0.79,-0.89
-1.105e-03,-0.79,-0.71
-1.103e-03,-0.81,-0.91
-1.101e-03,-0.87,-0.77
-1.099e-03,-0.77,-0.85
-1.097e-03,-0.73,-0.57
-1.096e-03,-0.57,-0.75
-1.094e-03,-0.69,-0.55
-1.092e-03,-0.69,-0.81
-1.090e-03,-0.77,-0.61
-1.088e-03,-0.65,-0.73
-1.086e-03,-0.65,-0.57
-1.084e-03,-0.63,-0.77
-1.082e-03,-0.61,-0.55
-1.080e-03,-0.75,-0.85
-1.078e-03,-0.73,-0.67
-1.076e-03,-0.75,-0.87
-1.074e-03,-0.77,-0.67
-1.072e-03,-0.77,-0.81
-1.071e-03,-0.71,-0.67
-1.069e-03,-0.75,-0.81
-1.067e-03,-0.67,-0.63
-1.065e-03,-0.79,-0.91
-1.063e-03,-0.79,-0.71
-1.061e-03,-0.87,-0.93
-1.059e-03,-0.81,-0.75
-1.057e-03,-0.85,-0.91
-1.055e-03,-0.85,-0.73
-1.053e-03,-0.73,-0.79
-1.051e-03,-0.77,-0.63
-1.049e-03,-0.63,-0.77
-1.048e-03,-0.75,-0.61
-1.046e-03,-0.65,-0.87
-1.044e-03,-0.81,-0.65
-1.042e-03,-0.77,-0.87
-1.040e-03,-0.79,-0.67
-1.038e-03,-0.69,-0.75
-1.036e-03,-0.59,-0.51
-1.034e-03,-0.59,-0.83
-1.032e-03,-0.67,-0.55
-1.030e-03,-0.79,-0.87
-1.028e-03,-0.81,-0.73
-1.026e-03,-0.81,-0.85
-1.024e-03,-0.75,-0.67
-1.023e-03,-0.79,-0.85
-1.021e-03,-0.69,-0.69
-1.019e-03,-0.73,-0.79
-1.017e-03,-0.65,-0.59
-1.015e-03,-0.63,-0.75
-1.013e-03,-0.63,-0.57
-1.011e-03,-0.67,-0.77
-1.009e-03,-0.69,-0.63
-1.007e-03,-0.69,-0.77
-1.005e-03,-0.69,-0.63
-1.003e-03,-0.67,-0.83
-1.001e-03,-0.79,-0.67
-9.995e-04,-0.73,-0.83
-9.976e-04,-0.75,-0.67
-9.957e-04,-0.69,-0.89
-9.937e-04,-0.83,-0.67
-9.918e-04,-0.81,-0.89
-9.899e-04,-0.77,-0.71
-9.880e-04,-0.77,-0.85
-9.861e-04,-0.79,-0.69
-9.841e-04,-0.81,-0.93
-9.822e-04,-0.83,-0.75
-9.803e-04,-0.83,-0.89
-9.784e-04,-0.77,-0.73
-9.765e-04,-0.85,-0.87
-9.745e-04,-0.71,-0.67
-9.726e-04,-0.79,-0.83
-9.707e-04,-0.71,-0.67
-9.688e-04,-0.85,-0.85
-9.669e-04,-0.75,-0.69
-9.649e-04,-0.79,-0.79
-9.630e-04,-0.69,-0.63
-9.611e-04,-0.71,-0.79
-9.592e-04,-0.71,-0.65
-9.573e-04,-0.73,-0.81
-9.553e-04,-0.73,-0.65
-9.534e-04,-0.71,-0.85
-9.515e-04,-0.81,-0.69
-9.496e-04,-0.75,-0.87
-9.477e-04,-0.83,-0.73
-9.457e-04,-0.77,-0.89
-9.438e-04,-0.83,-0.71
-9.419e-04,-0.71,-0.85
-9.400e-04,-0.81,-0.69
-9.381e-04,-0.79,-0.89
-9.361e-04,-0.83,-0.75
-9.342e-04,-0.83,-0.89
-9.323e-04,-0.77,-0.67
-9.304e-04,-0.73,-0.77
-9.285e-04,-0.65,-0.61
-9.265e-04,-0.75,-0.75
-9.246e-04,-0.63,-0.55
-9.227e-04,-0.63,-0.87
-9.208e-04,-0.65,-0.57
-9.189e-04,-0.81,-0.89
-9.169e-04,-0.79,-0.73
-9.150e-04,-0.83,-0.93
-9.131e-04,-0.85,-0.79
-9.112e-04,-0.85,-0.95
-9.093e-04,-0.91,-0.79
-9.073e-04,-0.83,-0.95
-9.054e-04,-0.93,-0.79
-9.035e-04,-0.81,-0.91
-9.016e-04,-0.89,-0.75
-8.997e-04,-0.77,-0.93
-8.977e-04,-0.91,-0.71
-8.958e-04,-0.75,-0.85
-8.939e-04,-0.75,-0.65
-8.920e-04,-0.77,-0.87
-8.901e-04,-0.81,-0.71
-8.881e-04,-0.79,-0.89
-8.862e-04,-0.83,-0.67
-8.843e-04,-0.73,-0.81
-8.824e-04,-0.73,-0.67
-8.805e-04,-0.75,-0.85
-8.785e-04,-0.77,-0.67
-8.766e-04,-0.81,-0.87
-8.747e-04,-0.73,-0.69
-8.728e-04,-0.85,-0.87
-8.709e-04,-0.81,-0.75
-8.689e-04,-0.87,-0.89
-8.670e-04,-0.79,-0.73
-8.651e-04,-0.81,-0.89
-8.632e-04,-0.83,-0.73
-8.613e-04,-0.77,-0.87
-8.593e-04,-0.77,-0.69
-8.574e-04,-0.77,-0.81
-8.555e-04,-0.75,-0.67
-8.536e-04,-0.69,-0.77
-8.517e-04,-0.77,-0.63
-8.497e-04,-0.69,-0.85
-8.478e-04,-0.77,-0.67
-8.459e-04,-0.77,-0.87
-8.440e-04,-0.81,-0.73
-8.421e-04,-0.75,-0.81
-8.401e-04,-0.67,-0.59
-8.382e-04,-0.63,-0.69
-8.363e-04,-0.61,-0.49
-8.344e-04,-0.55,-0.65
-8.325e-04,-0.53,-0.51
-8.305e-04,-0.63,-0.77
-8.286e-04,-0.59,-0.53
-8.267e-04,-0.77,-0.81
-8.248e-04,-0.71,-0.67
-8.229e-04,-0.79,-0.87
-8.209e-04,-0.79,-0.71
